order_id,customer_id,order_date,delivery_date,total_amount,discount_applied,tax_amount,shipping_cost,order_status,payment_method,notes
28,6601,2024-03-01,2024-03-10,4773.459999999999,13.74,17.47,5.75,Cancelled,Debit Card,Like present seven enjoy.
29,4972,2022-05-21,2022-05-27,2494.54,11.98,24.61,10.66,Delivered,Debit Card,Enough whatever clearly town knowledge.
30,80,2023-03-05,2023-03-13,12973.09,20.4,16.3,9.64,Returned,Cash,Worry huge foreign reality will husband wall audience.
31,2602,2022-09-13,2022-09-23,6042.67,26.36,19.87,18.58,Pending,PayPal,Study enough member organization.
32,9491,2023-06-17,2023-06-24,3650.92,5.42,20.74,11.41,Returned,Cash,Line why full significant result front.
33,6177,2023-10-07,2023-10-11,4474.17,11.41,20.02,7.2,Shipped,PayPal,Single collection people final road speak.
34,2603,2022-02-28,2022-03-09,3862.48,14.64,17.64,9.56,Cancelled,Debit Card,Prove think hope seat.
35,899,2022-04-09,2022-04-18,3773.37,21.83,10.41,7.65,Shipped,PayPal,Keep training of church discuss threat government include.
36,7053,2022-11-09,2022-11-15,4959.22,12.49,7.11,10.3,Delivered,Cash,Reach reduce that whether save.
37,8960,2023-02-03,2023-02-06,4471.16,1.45,12.57,12.7,Shipped,Cash,Score marriage answer win cell fill himself trouble.
38,8549,2024-08-22,2024-09-01,5205.47,28.67,23.85,14.24,Shipped,PayPal,Interview hotel animal side.
39,9898,2024-09-17,2024-09-23,2843.51,26.82,10.1,5.29,Shipped,PayPal,Scene tonight join outside.
40,8522,2023-08-04,2023-08-07,17908.87,28.71,17.43,9.86,Pending,Debit Card,Situation kid floor.
41,4475,2024-01-29,2024-02-04,4141.82,1.41,16.23,13.1,Shipped,Credit Card,Voice open behavior enjoy society beat.
42,4057,2023-04-02,2023-04-12,4891.5599999999995,16.33,7.43,13.69,Shipped,PayPal,Maybe hour development our no effect.
43,6895,2022-05-22,2022-05-31,4896.5599999999995,17.57,21.09,14.68,Shipped,Cash,Last level should statement PM.
44,9871,2023-04-03,2023-04-12,1210.28,29.08,9.95,19.55,Returned,Credit Card,Born big price remain.
45,2585,2023-06-30,2023-07-03,1428.82,4.8,21.0,6.15,Shipped,Credit Card,Above pull language tell former require economy.
46,6014,2024-12-11,2024-12-21,9153.49,5.41,5.12,7.3,Returned,Credit Card,Place card speech especially.
47,2489,2024-11-29,2024-12-06,291.24,6.49,23.56,8.64,Cancelled,Debit Card,Reveal add so law myself.
48,4770,2024-03-29,2024-04-01,7850.0199999999995,23.04,16.87,7.66,Shipped,Cash,Up lawyer apply line consumer party.
49,3008,2024-03-04,2024-03-06,5814.33,7.33,15.99,18.73,Cancelled,Debit Card,Important training minute power before example.
50,1842,2024-10-29,2024-10-31,524.75,5.49,11.95,5.27,Shipped,Credit Card,Science you situation both first assume.
51,7962,2022-11-29,2022-12-08,4127.3099999999995,19.07,12.98,13.63,Pending,Credit Card,Kid short challenge east bit.
52,1724,2024-07-25,2024-07-27,2185.56,19.68,17.78,16.28,Pending,Cash,Surface let player list should baby agreement.
53,5616,2023-03-29,2023-04-06,4419.5,25.29,22.67,17.31,Shipped,PayPal,Set miss their big human star.
54,8677,2024-12-19,2024-12-25,976.25,7.15,24.82,16.76,Returned,Cash,Leader life part list put.
55,6107,2023-05-30,2023-06-02,7033.07,27.39,11.25,15.78,Delivered,Cash,Watch wrong chance my base such it nor.
56,1861,2023-06-13,2023-06-16,1944.73,13.96,17.53,18.47,Returned,Cash,Seem left black also as week main discover.
57,2186,2022-04-29,2022-05-01,5501.13,14.48,15.66,7.8,Pending,PayPal,Method get six citizen go local measure.
58,764,2024-12-12,2024-12-14,1636.77,18.7,18.14,15.99,Returned,Credit Card,Contain beyond soon attack leg.
59,3312,2023-03-03,2023-03-13,4770.85,8.49,19.27,14.62,Shipped,Debit Card,Me thing late production law still friend population.
60,1856,2023-06-27,2023-07-01,10257.77,11.41,18.63,5.38,Returned,Debit Card,Behavior wrong why sport.
61,4347,2024-11-22,2024-11-26,3201.05,20.94,15.93,7.08,Delivered,Debit Card,Thing successful strong street capital place.
62,6298,2023-08-11,2023-08-20,7640.85,4.81,7.95,18.03,Shipped,Credit Card,Pick develop law past set.
63,1831,2022-06-29,2022-07-04,4348.27,2.96,14.35,10.19,Delivered,Debit Card,Fast while right number end real popular.
64,3525,2023-08-17,2023-08-27,735.32,5.02,12.73,15.19,Pending,Credit Card,Difference rate each assume almost nice woman born.
65,7307,2024-08-07,2024-08-15,4020.54,15.17,7.26,11.5,Cancelled,Cash,Down institution short ability.
66,9795,2024-10-29,2024-11-02,2109.87,0.21,11.4,10.0,Returned,Cash,Run set character major.
67,2774,2023-05-03,2023-05-09,2455.2799999999997,12.97,9.68,5.24,Shipped,Credit Card,Adult southern institution believe.
68,1371,2024-01-17,2024-01-23,6341.21,14.5,21.14,19.14,Shipped,Credit Card,Group if it too.
69,196,2023-08-11,2023-08-17,8034.36,10.83,8.95,14.13,Delivered,Credit Card,Begin be Mr medical business.
70,5616,2023-07-27,2023-07-29,746.96,0.82,11.45,9.8,Returned,PayPal,Parent all serve parent whatever fire itself.
71,5242,2024-12-09,2024-12-19,316.06,4.91,10.82,18.94,Cancelled,Credit Card,He support Republican national these.
72,8136,2023-05-13,2023-05-18,3022.36,15.13,13.72,14.15,Pending,Credit Card,Risk green eye game.
73,3723,2022-08-01,2022-08-11,8227.16,29.89,18.01,10.89,Delivered,Credit Card,Public few hand gun.
74,8355,2024-04-17,2024-04-24,5919.22,6.97,11.55,18.44,Pending,Cash,Produce despite add push.
75,7240,2024-04-21,2024-04-25,3941.6000000000004,5.01,17.82,19.73,Shipped,Debit Card,Them outside customer.
76,3071,2023-10-10,2023-10-20,9550.07,16.94,7.36,15.34,Shipped,Debit Card,Behavior generation news meeting evidence at.
77,5915,2024-07-18,2024-07-20,11525.619999999999,3.24,20.03,5.95,Shipped,PayPal,Piece worker sound truth out director.
78,6999,2024-05-02,2024-05-04,3895.31,26.86,22.0,13.01,Pending,Credit Card,Series yard someone car nation.
79,483,2023-11-24,2023-12-01,1813.94,5.36,5.83,9.72,Pending,Cash,Different tree radio loss.
80,7777,2024-01-28,2024-02-03,2410.38,24.06,19.38,11.91,Cancelled,PayPal,Clear simple contain enjoy rate data drop.
81,5762,2024-03-25,2024-04-04,2505.48,28.17,22.16,13.5,Returned,Cash,Stay trade be yes lot letter.
82,1468,2022-05-18,2022-05-23,5963.4,4.91,24.11,16.9,Pending,Cash,Old reality guy partner hour strong trial.
83,5045,2024-10-15,2024-10-17,1892.73,19.04,15.86,6.2,Shipped,Credit Card,Those they season effort beyond huge.
84,2037,2024-04-17,2024-04-19,1353.6,2.99,20.06,17.67,Delivered,Cash,Blue when street thus set price ok.
85,6589,2023-05-18,2023-05-27,0.0,13.94,13.32,6.07,Delivered,Debit Card,Remain focus information interest get task course parent.
86,9249,2023-09-23,2023-09-29,6015.570000000001,11.97,5.58,12.26,Returned,Debit Card,Everything ground thing father listen hard.
87,7371,2023-07-01,2023-07-04,5876.32,12.66,11.62,18.98,Cancelled,Cash,General election operation pass similar theory suggest.
88,2113,2022-11-15,2022-11-17,6153.12,26.53,18.31,13.33,Delivered,PayPal,Father show born them.
89,5003,2023-07-07,2023-07-12,3493.28,13.56,22.48,11.61,Shipped,PayPal,Top growth magazine large game build yourself.
90,2438,2024-04-26,2024-05-01,12872.73,1.78,23.35,14.54,Shipped,PayPal,Evidence everybody company every.
91,9242,2024-09-18,2024-09-28,964.23,16.67,20.68,10.41,Returned,Cash,Through nearly hair fire ground significant blood.
92,7514,2023-02-02,2023-02-06,206.68,28.72,17.39,18.15,Shipped,Debit Card,Environment could hair agent view nor.
93,7744,2023-11-16,2023-11-23,3099.45,26.75,17.54,7.45,Delivered,Credit Card,Environment tree television avoid talk success.
94,9427,2022-07-10,2022-07-15,1729.96,15.09,18.32,7.93,Returned,PayPal,Past fill body morning behind themselves decade.
95,4689,2024-05-30,2024-06-07,8926.1,16.01,10.33,15.16,Shipped,Debit Card,Career get book ever before.
96,6438,2024-02-01,2024-02-08,5914.86,23.88,11.94,15.65,Returned,Credit Card,Bit with form stay adult may.
97,9059,2023-06-08,2023-06-18,9331.35,12.49,14.08,7.49,Shipped,Cash,Drive catch rather fact.
98,5464,2024-03-19,2024-03-24,5929.6,29.2,22.33,17.46,Delivered,Credit Card,List need one half whether record risk treatment.
99,2590,2023-12-04,2023-12-12,8755.87,1.7,7.09,11.36,Shipped,PayPal,Have election help manage ask something often.
100,1912,2023-04-10,2023-04-12,5472.71,7.85,22.55,6.38,Cancelled,Debit Card,Program control card identify since sing.
101,5626,2022-05-15,2022-05-21,3929.3,5.31,22.47,8.18,Shipped,Cash,State different much mention day present better well.
102,3558,2023-06-17,2023-06-21,11700.94,5.85,14.19,9.25,Delivered,PayPal,Kind until business particular nor long.
103,1921,2024-05-24,2024-05-31,1344.67,22.21,22.68,19.15,Shipped,PayPal,Them expert camera now shake month.
104,2414,2024-11-29,2024-12-05,2865.83,2.52,7.11,10.09,Returned,PayPal,One reason just interesting.
105,9301,2022-08-29,2022-09-04,7444.93,9.97,17.83,7.5,Pending,PayPal,Daughter wall we price front.
106,4920,2023-07-20,2023-07-24,5475.39,11.36,15.11,18.49,Pending,Debit Card,Language quite far system newspaper.
107,2016,2024-08-24,2024-08-27,8753.25,29.36,13.16,16.29,Returned,Debit Card,Dream deal remember out laugh visit human say.
108,6348,2023-06-06,2023-06-12,5523.81,8.65,16.73,18.18,Cancelled,Debit Card,Feel east price offer assume practice.
109,7225,2024-10-17,2024-10-23,4601.66,21.85,11.46,14.78,Returned,Cash,Debate drug that.
110,9338,2024-10-02,2024-10-09,2750.98,24.36,12.2,17.81,Pending,Cash,Factor statement themselves professor to step himself.
111,1954,2022-08-26,2022-09-02,9487.69,7.83,24.63,14.76,Returned,Debit Card,Staff adult avoid give so certainly.
112,7867,2023-05-07,2023-05-13,10683.27,26.5,8.55,15.31,Shipped,Credit Card,Walk government spring yard get.
113,7628,2023-01-07,2023-01-14,7019.24,24.38,16.15,8.9,Shipped,Credit Card,Return give gun him six sometimes cell.
114,8244,2022-10-10,2022-10-12,5241.78,2.75,10.02,19.7,Shipped,Cash,Little front public table.
115,6291,2024-08-06,2024-08-16,2665.66,28.19,11.17,16.17,Pending,PayPal,Learn politics possible practice this buy every.
116,218,2023-03-01,2023-03-09,6792.13,12.77,19.73,13.86,Pending,Credit Card,Beyond east outside we current space feeling example.
117,9748,2023-03-17,2023-03-25,13327.92,18.8,9.85,11.69,Delivered,Credit Card,Recognize individual option why ever.
118,1047,2024-09-24,2024-09-28,5178.92,15.57,14.82,19.34,Pending,Cash,Company official bank democratic believe collection wife.
119,147,2022-08-03,2022-08-10,2499.77,12.74,21.99,8.99,Pending,PayPal,Meet floor foreign.
120,1678,2023-02-19,2023-02-21,12150.18,3.22,8.29,5.03,Shipped,Credit Card,You indicate real leg western.
121,723,2023-04-21,2023-04-29,6889.57,0.05,10.09,5.79,Cancelled,Debit Card,Democrat hit out indeed be will husband.
122,8866,2022-02-09,2022-02-19,3522.6,12.47,24.9,17.9,Shipped,Debit Card,Music learn word collection put.
123,2829,2024-03-22,2024-03-25,6952.41,1.8,12.82,6.2,Returned,PayPal,Himself candidate old.
124,6094,2022-06-12,2022-06-16,4432.43,1.1,14.24,10.93,Cancelled,Cash,Some turn focus.
125,4281,2022-07-03,2022-07-13,7408.099999999999,4.92,23.63,14.71,Delivered,Credit Card,Meet special modern environmental range.
126,4419,2022-03-14,2022-03-20,7589.889999999999,4.09,12.85,14.62,Shipped,Cash,Sell have side.
127,4042,2024-06-30,2024-07-04,0.0,21.17,15.67,11.35,Delivered,PayPal,Help another radio husband small upon example threat.
128,8501,2024-07-05,2024-07-09,383.18,21.14,21.86,16.1,Returned,PayPal,Strategy court big low pretty.
129,5303,2022-11-21,2022-11-30,1237.14,19.79,18.95,8.2,Cancelled,Debit Card,Yeah onto population image by nor hear.
130,471,2023-08-26,2023-08-31,0.0,10.2,14.98,13.62,Returned,Debit Card,Newspaper site firm off detail run involve.
131,7268,2024-12-17,2024-12-25,8262.98,13.04,14.38,15.8,Pending,Credit Card,Role list which past continue play rich.
132,9612,2024-12-10,2024-12-17,4307.08,6.55,10.45,15.09,Pending,PayPal,Study own suggest fall person religious top morning.
133,4600,2023-07-29,2023-07-31,5374.54,24.52,9.6,5.84,Shipped,PayPal,Marriage use rate big win more find.
134,417,2024-02-08,2024-02-16,59.58,26.24,15.61,16.51,Cancelled,Cash,Return dark away little year.
135,248,2022-06-15,2022-06-23,2666.03,25.64,13.38,10.36,Cancelled,Cash,Half into mission court simple business other.
136,7966,2023-05-25,2023-05-27,5314.06,9.8,6.64,7.57,Pending,Credit Card,On tend religious drug finish beyond language.
137,4768,2024-07-05,2024-07-15,6951.14,3.89,8.3,7.05,Delivered,PayPal,Glass page push beyond yourself term.
138,8625,2022-02-01,2022-02-04,6547.68,0.7,20.7,17.82,Delivered,PayPal,Plan someone card candidate man.
139,8221,2024-03-18,2024-03-20,1384.9,10.47,20.72,14.5,Delivered,Cash,Focus list change difference everything small citizen.
140,3939,2024-08-03,2024-08-10,10249.779999999999,10.09,21.02,14.61,Cancelled,Cash,Sport method dinner activity watch level report.
141,624,2023-04-29,2023-05-06,3700.8,24.69,19.45,11.26,Delivered,PayPal,Set century responsibility education.
142,3662,2024-10-02,2024-10-11,1499.57,14.58,22.19,13.4,Delivered,Debit Card,Sit indicate necessary.
143,1246,2024-07-06,2024-07-13,1585.2,5.11,23.86,19.07,Returned,PayPal,Final possible have exactly at together.
144,7504,2023-02-14,2023-02-22,10675.37,23.79,21.91,5.77,Cancelled,PayPal,Mean record health first eat number individual.
145,2586,2023-06-26,2023-06-30,8267.19,25.56,16.78,14.52,Shipped,PayPal,Later political all form sit.
146,5370,2022-02-13,2022-02-21,7297.44,26.32,9.18,14.36,Cancelled,PayPal,Meet any history generation.
147,2330,2024-03-14,2024-03-16,4313.8099999999995,1.81,9.48,12.76,Delivered,Credit Card,Realize treatment their discover successful education.
148,16,2024-08-10,2024-08-19,1948.65,1.77,10.24,6.35,Returned,Credit Card,Let voice force three.
149,4635,2024-07-22,2024-07-26,8280.57,4.31,16.28,9.8,Delivered,Debit Card,Believe national together mention apply even.
150,5583,2023-03-07,2023-03-17,8153.79,2.08,24.86,15.14,Returned,Cash,Little international light music figure spend.
151,4058,2024-03-20,2024-03-28,5351.88,10.01,17.3,11.26,Delivered,Debit Card,Start since note loss team nature best.
152,2746,2022-12-02,2022-12-10,5148.6,0.65,6.19,10.31,Pending,Cash,Evening commercial catch.
153,3351,2022-04-21,2022-04-26,7057.200000000001,7.9,13.15,6.03,Returned,Cash,Order resource officer.
154,8127,2023-10-17,2023-10-27,4554.13,5.67,7.88,7.69,Cancelled,PayPal,Drop several describe remain social herself.
155,3581,2024-04-06,2024-04-11,6225.219999999999,20.75,5.82,6.54,Returned,Credit Card,Worker six home focus could box.
156,1394,2023-05-10,2023-05-19,6416.98,24.13,21.11,5.72,Shipped,Debit Card,Year fish move foreign daughter.
157,1002,2022-10-03,2022-10-08,4797.79,15.14,12.47,9.22,Returned,PayPal,Growth be structure show.
158,6876,2023-09-12,2023-09-17,4283.78,19.58,22.3,5.81,Shipped,Credit Card,Current perhaps challenge land market exactly really receive.
159,1429,2024-08-25,2024-08-30,9955.8,6.68,23.21,13.1,Shipped,Credit Card,Else Mrs decade various measure.
160,9509,2022-06-21,2022-06-23,0.0,7.21,13.31,15.87,Cancelled,Cash,Buy sport sort indeed behind.
161,7599,2023-10-19,2023-10-28,456.21,13.65,22.07,10.13,Cancelled,Cash,Different change heavy next could suffer probably.
162,5851,2023-05-29,2023-06-04,4600.37,10.46,11.62,18.28,Shipped,PayPal,Kind million just large.
163,1816,2022-07-04,2022-07-14,11192.35,18.4,21.12,15.44,Shipped,PayPal,Music run shake may.
164,1768,2024-11-23,2024-11-26,9293.939999999999,27.05,7.79,14.36,Returned,PayPal,Most certain teach southern sense.
165,3366,2023-10-21,2023-10-28,358.2,7.05,5.99,14.27,Shipped,Debit Card,Somebody far present successful affect top politics.
166,3090,2024-02-14,2024-02-19,5809.61,19.58,22.58,8.09,Pending,PayPal,Which green perform these.
167,5160,2023-12-01,2023-12-11,8730.42,10.09,20.71,11.97,Shipped,Cash,Before drug single single light compare.
168,285,2023-08-16,2023-08-22,2991.6,12.96,21.01,11.34,Cancelled,Cash,Industry six begin college father consider win.
169,1739,2024-08-22,2024-08-28,5149.57,9.59,24.98,16.2,Delivered,PayPal,Dog mother adult say key from beat.
170,7824,2024-12-07,2024-12-17,9600.14,13.11,7.15,19.04,Cancelled,PayPal,Half base others follow apply star bring.
171,4009,2023-05-15,2023-05-25,7957.55,22.04,10.1,7.04,Returned,Cash,Time evidence protect exactly green.
172,894,2023-03-22,2023-03-27,856.55,5.23,10.64,11.55,Delivered,Cash,World various environment black.
173,5651,2024-08-06,2024-08-10,2461.83,5.03,5.67,8.43,Delivered,Debit Card,Role rate section friend third fine.
174,7571,2023-01-03,2023-01-12,7543.25,23.05,8.22,13.19,Returned,PayPal,Cover certain really type visit.
175,9165,2023-01-01,2023-01-11,13919.78,18.08,6.69,15.05,Returned,PayPal,Board material quite white week provide.
176,1353,2022-12-05,2022-12-12,12220.69,11.52,19.5,14.37,Pending,PayPal,Build notice clear benefit.
177,6449,2023-06-26,2023-07-03,12197.18,19.7,10.86,9.48,Delivered,PayPal,Discover social letter arrive allow interesting why.
178,3904,2022-11-16,2022-11-20,6701.1,24.74,5.12,8.87,Delivered,Debit Card,Work part research lead.
179,2560,2022-01-17,2022-01-23,5119.12,29.35,22.58,16.06,Cancelled,Cash,Cultural whose treat assume.
180,5988,2023-02-19,2023-03-01,3245.98,9.91,14.87,5.14,Pending,Cash,Move push performance student attorney sound whose.
181,9816,2024-09-04,2024-09-13,4999.219999999999,20.62,20.29,6.87,Delivered,Cash,Take often fire affect decide TV author.
182,713,2024-06-08,2024-06-17,440.05,22.46,17.32,16.3,Cancelled,Cash,Debate building safe particularly opportunity first.
183,5632,2022-02-13,2022-02-17,11466.9,27.11,19.86,18.61,Pending,Credit Card,Hotel hundred past exist prove.
184,1257,2022-11-11,2022-11-17,5441.79,13.84,23.01,5.49,Cancelled,Debit Card,Budget past first.
185,6937,2023-05-04,2023-05-10,2178.09,1.29,9.96,11.2,Shipped,PayPal,The today relate give less.
186,7985,2023-03-14,2023-03-16,7771.040000000001,17.62,7.55,15.28,Pending,Cash,Near child least many sister.
187,5736,2024-01-02,2024-01-08,3846.31,14.44,21.86,12.32,Delivered,Debit Card,Stuff range painting political seven of.
188,3297,2024-09-20,2024-09-30,4001.38,26.08,20.21,16.32,Cancelled,PayPal,Relationship letter guy federal loss door democratic.
189,5818,2022-09-03,2022-09-06,8881.71,20.4,13.46,18.27,Returned,Credit Card,Expert should time way understand citizen site.
190,5875,2022-03-24,2022-03-31,8149.99,22.28,7.2,9.88,Cancelled,Cash,Ready practice less exactly staff last ready less.
191,6904,2022-08-28,2022-08-31,2959.9,12.44,24.72,18.37,Pending,Debit Card,Will go ready medical much follow.
192,3916,2022-08-02,2022-08-10,2037.74,11.64,13.15,5.21,Returned,PayPal,Full together girl turn radio.
193,1957,2023-09-22,2023-09-29,232.75,20.87,7.33,18.6,Shipped,Debit Card,Activity tough soon business both.
194,6805,2024-05-06,2024-05-13,2265.14,29.52,8.75,8.91,Delivered,Credit Card,Serious sort design color body time adult.
195,2435,2024-09-29,2024-10-09,9403.23,11.2,17.14,6.01,Shipped,Credit Card,Even sign approach good rise information keep.
196,7040,2023-10-16,2023-10-20,2267.1,27.11,14.02,16.09,Delivered,Cash,Who reason rich mother seven.
197,9068,2022-07-21,2022-07-30,4087.39,9.13,14.63,16.3,Returned,Cash,Blue magazine ball radio window identify.
198,1398,2022-05-06,2022-05-11,431.52,17.15,23.59,5.88,Shipped,Cash,Continue player member.
199,4258,2023-07-05,2023-07-07,0.0,21.26,12.77,18.13,Shipped,Debit Card,Around worry smile though drop too.
200,9231,2022-10-24,2022-10-31,8293.66,21.95,13.44,7.0,Pending,Credit Card,Speech answer source try yourself network defense.
201,7909,2024-11-24,2024-11-28,1297.7,8.45,16.73,15.78,Pending,Credit Card,While purpose stand wide run southern.
202,6398,2022-06-26,2022-07-05,2705.97,6.11,7.16,14.09,Returned,Cash,Full lay radio full way government quality.
203,7647,2024-03-24,2024-03-29,9370.06,29.89,18.03,17.55,Delivered,PayPal,Late memory research start.
204,6363,2023-07-05,2023-07-10,3825.69,0.13,20.76,7.61,Pending,Cash,Someone billion statement nation ago.
205,5707,2024-04-27,2024-05-02,5686.86,12.52,9.12,16.05,Cancelled,Cash,General medical century water pretty.
206,6416,2023-02-04,2023-02-11,3777.54,18.61,10.79,16.5,Returned,PayPal,Manage suddenly yard ago.
207,31,2022-09-16,2022-09-19,7686.419999999999,23.98,22.6,17.57,Pending,Debit Card,Wait whole strategy young anyone.
208,7681,2023-09-23,2023-09-27,5639.37,6.1,9.36,6.91,Returned,Debit Card,Discover weight from without table church.
209,4991,2024-12-01,2024-12-10,10118.720000000001,25.95,24.74,8.11,Delivered,Debit Card,Author none investment then matter.
210,5596,2023-12-21,2023-12-26,5564.610000000001,25.17,6.62,13.35,Shipped,Credit Card,Maybe beautiful woman put.
211,8849,2022-03-21,2022-03-26,6025.820000000001,0.1,21.86,17.85,Returned,PayPal,Paper three ago produce nor western follow.
212,6768,2023-09-01,2023-09-11,10737.15,29.0,18.23,13.43,Shipped,Credit Card,Each simply rock lay.
213,1539,2022-05-13,2022-05-16,1557.6000000000001,19.68,8.27,16.43,Cancelled,Cash,Rest form happy continue bring time window.
214,3426,2022-03-18,2022-03-20,1808.8400000000001,19.13,13.48,10.9,Cancelled,PayPal,War collection test.
215,2871,2024-04-15,2024-04-24,10359.220000000001,15.21,18.0,7.38,Delivered,PayPal,Say design discover writer prove yard force write.
216,167,2024-12-31,2025-01-07,6566.39,5.77,24.54,12.37,Pending,Debit Card,Exist generation pass community capital drug.
217,506,2023-09-27,2023-10-03,6507.57,24.98,14.81,8.28,Shipped,Credit Card,Girl two generation place right anything gun four.
218,2545,2024-06-29,2024-07-04,5533.82,21.31,19.79,6.89,Cancelled,PayPal,Heart single professor possible face assume window picture.
219,7400,2024-07-24,2024-08-01,4078.4500000000003,24.91,16.64,10.13,Shipped,Credit Card,Business use painting four.
220,6600,2023-09-25,2023-10-02,8796.23,15.04,16.11,11.84,Pending,Debit Card,Sea argue prevent culture every song thus.
221,5403,2024-05-11,2024-05-19,1773.75,4.55,21.98,14.34,Returned,Credit Card,Individual list process campaign.
222,5826,2022-10-12,2022-10-22,14547.59,4.8,19.46,19.34,Shipped,Debit Card,Beautiful state event thus any factor.
223,1210,2023-05-13,2023-05-15,1039.56,9.84,10.53,12.0,Cancelled,Cash,Trial concern feel be middle toward believe.
224,9411,2024-08-16,2024-08-22,0.0,2.68,13.0,6.27,Delivered,Cash,Public adult nation art.
225,5676,2024-05-16,2024-05-24,3542.89,4.13,23.04,7.5,Shipped,Cash,Leave half present.
226,9298,2022-10-04,2022-10-07,1484.02,19.67,18.13,15.63,Returned,Credit Card,Trade sing true trip.
227,9220,2022-02-04,2022-02-08,4910.74,9.15,22.12,13.71,Delivered,Debit Card,Finally coach learn head able.
228,5241,2024-09-28,2024-10-04,1335.75,13.74,21.67,19.8,Cancelled,Credit Card,Might beat the range white TV.
229,8886,2022-03-11,2022-03-16,0.0,16.08,13.74,14.38,Pending,Credit Card,History wonder expect.
230,6022,2024-11-03,2024-11-06,6181.700000000001,17.83,19.41,16.17,Returned,Debit Card,Sort short organization much.
231,3413,2023-05-04,2023-05-08,5121.900000000001,16.93,18.02,16.12,Delivered,Debit Card,Race author heavy simply.
232,251,2022-04-12,2022-04-20,6890.709999999999,27.71,16.58,9.27,Shipped,Cash,Of thank which commercial avoid.
233,6801,2024-08-13,2024-08-15,2091.65,11.49,16.24,9.91,Shipped,Cash,Face without area protect building.
234,8701,2022-01-15,2022-01-17,4926.04,14.78,5.83,19.04,Shipped,Credit Card,Step without or.
235,477,2024-06-14,2024-06-18,7011.589999999999,27.07,23.06,18.9,Shipped,Credit Card,Film ask head table serious person.
236,2588,2024-02-05,2024-02-08,5821.04,0.34,23.26,14.27,Cancelled,Cash,Line establish both appear true concern team finish.
237,3602,2024-12-12,2024-12-20,8672.720000000001,13.29,23.89,7.99,Cancelled,Debit Card,Past when teacher high reach less source.
